"journal-article-10.2307_1023693-ngram1.txt","[Index]"
"journal-article-10.2307_1025415-ngram1.txt","[Index]"
"journal-article-10.2307_1026383-ngram1.txt","[Index]"
"journal-article-10.2307_1031484-ngram1.txt","[Index]"
"journal-article-10.2307_1039563-ngram1.txt","[Index]"
"journal-article-10.2307_1019112-ngram1.txt","The Power Situation in the Southern Power Province"
"journal-article-10.2307_1014837-ngram1.txt","Western Europe and the United States"
"journal-article-10.2307_1019954-ngram1.txt","[Index]"
"journal-article-10.2307_1016389-ngram1.txt","The Legal Minimum Wage in Massachusetts"
"journal-article-10.2307_1016021-ngram1.txt","Europe in 1927"
"journal-article-10.2307_1015824-ngram1.txt","Four Years of Labor Mobility. A Study of Labor Turnover in a Group of Selected Plants in Philadelphia 1921-1924"
"journal-article-10.2307_1015062-ngram1.txt","The Standard of Living among One Hundred Negro Migrant Families in Philadelphia"
"journal-article-10.2307_1014540-ngram1.txt","Expenditures and Revenues of the Federal Government"
"journal-article-10.2307_1035100-ngram1.txt","[Index]"
"journal-article-10.2307_1016467-ngram1.txt","Bibliography of China, Japan and the Philippine Islands"
"journal-article-10.2307_1015409-ngram1.txt","The Development of Industrial Budgeting"
"journal-article-10.2307_1024336-ngram1.txt","The Chinese in Southeastern Asia and the Philippines"
"journal-article-10.2307_1016878-ngram1.txt","Back Matter"
"journal-article-10.2307_1015033-ngram1.txt","The Organization and the Work of the League of Nations"
"journal-article-10.2307_1017243-ngram1.txt","Back Matter"
"journal-article-10.2307_1014776-ngram1.txt","Coal Prices: A Selected Bibliography"
"journal-article-10.2307_1016453-ngram1.txt","China's Post-War Trade"
"journal-article-10.2307_1014790-ngram1.txt","[Index]"
"journal-article-10.2307_1017151-ngram1.txt","Possible Extension of the Human Life Cycle"
"journal-article-10.2307_1017543-ngram1.txt","Municipal Police Administration"
"journal-article-10.2307_1033515-ngram1.txt","[Index]"
"journal-article-10.2307_1014674-ngram1.txt","Digest of Primary Election Laws"
"journal-article-10.2307_1022407-ngram1.txt","Back Matter"
"journal-article-10.2307_1017627-ngram1.txt","Tariff Making in Great Britain and the Dominions"
"journal-article-10.2307_1017277-ngram1.txt","Commercial Arbitration: A Practical Plan"
"journal-article-10.2307_1015692-ngram1.txt","Wheat and Wheat Flour"
"journal-article-10.2307_1014212-ngram1.txt","The Petroleum Resources of the World"
"journal-article-10.2307_3804607-ngram1.txt","Prosperity Reserves of Public Works"
"journal-article-10.2307_1016335-ngram1.txt","Great Britain's Recent Trend toward Protection"
"journal-article-10.2307_1016441-ngram1.txt","Trend of Wage Earners' Savings in Philadelphia"
"journal-article-10.2307_1017204-ngram1.txt","Women in International Affairs"
"journal-article-10.2307_1015732-ngram1.txt","Social and Economic Consequences of Buying on the Instalment Plan"
"journal-article-10.2307_1037293-ngram1.txt","Supplement: Social Stratification: 1964-1968"
